"x","y","z"
335706,4750419,-4690
330640,4753688,-4360
326300,4759798,-4509
337626,4749850,-5158
336770,4751266,-2819
332682,4750575,-6667
337278,4750646,-4162
329984,4761038,-1790
326707,4759375,-4127
330474,4755880,-3615
334129,4748494,-4075
329418,4761546,-1872
329158,4755614,-3708
326461,4763899,-1644
337406,4749775,-4869
336511,4749672,-3141
332273,4755157,-3891
336771,4750959,-4127
336694,4751055,-4302
336231,4750822,-3413
329296,4766345,-8799
329420,4758133,-1722
320998,4776582,-3388
335878,4751780,-4176
335698,4751241,-4357
321703,4773546,-5132
328829,4757793,-1440
325973,4760033,-4674
318758,4765187,-7571
339745,4749335,-3985
326657,4761034,-2693
332514,4749117,-4368
332459,4748671,-1795
330201,4756358,-4216
329374,4757993,-2387
326053,4759593,-4334
336949,4749890,-6070
334081,4751728,-4819
328517,4756854,-3940
331314,4753508,-5952
332224,4756721,-1888
332809,4749003,-3997
329258,4758442,-1228
335511,4750773,-1908
329381,4758444,-1581
330727,4758647,-2589
329499,4758349,-45
338856,4749252,-3508
337362,4751505,-3371
333181,4756327,-1284
337361,4751924,-3060
329210,4755542,-4241
329864,4757540,-2609
337060,4752041,-2734
327028,4761106,-2608
336053,4751129,-5271
330460,4759515,-1661
339767,4749420,-3998
334260,4749712,-4567
336335,4750141,-5316
336878,4750817,-4596
337916,4749813,-4931
326775,4765451,-752
331422,4762195,-5056
336900,4750332,-4749
333892,4753591,-3714
327838,4762398,-1814
327776,4762284,-1623
331952,4760989,-612
336422,4752463,-2734
329707,4758587,-4801
326000,4764921,-3626
329289,4755445,-4456
331543,4756160,-2618
330363,4763731,-1813
330006,4757310,-2773
338135,4751290,-3215
327308,4754331,-1977
329193,4761167,-1543
334620,4754204,-2507
332609,4754537,-3914
330240,4757564,-1115
329606,4755943,-4619
326781,4759426,-4037
327666,4759778,-4208
333446,4756407,-1732
330264,4757607,-2071
330521,4763291,-4372
338495,4750753,-3336
326606,4763724,-1515
338416,4750084,-5058
338268,4749445,-4597
329900,4757013,-3665
330002,4757122,-3148
326612,4761241,-1594
332645,4753026,-88
322271,4770454,-5789
338119,4749504,-4828
334018,4751743,-4803
329418,4768177,-2025
333220,4752726,-4000
328300,4767536,-75
328158,4767306,-791
328298,4767850,-923
328285,4767777,-546
328266,4767831,-797
328363,4768225,-566
329917,4757625,-2656
328192,4767336,-364
328277,4768180,-779
328174,4767397,-544
328234,4767267,-975
327937,4766609,-493
328209,4767471,-379
327912,4770702,218
338399,4750628,-4181
328388,4768565,253
329407,4757766,-1623
328692,4768840,-2176
333540,4752438,-3879
329862,4756989,-3370
340007,4749223,-1989
332644,4750141,-5592
334225,4752177,-4857
329461,4757607,-1890
327054,4761700,-1960
338416,4750770,-3601
329602,4758743,-1846
334244,4752937,-4005
325386,4760219,-4994
336610,4750698,-5525
332611,4749564,-7447
325227,4760098,-5237
328420,4757350,-4243
326757,4761014,-1672
335885,4749084,-4683
327814,4771026,-596
329408,4758934,-1669
336070,4747079,-4656
338253,4749566,-4861
338462,4749916,-4300
328127,4767179,-219
331642,4760547,-1418
322722,4768494,-6291
329649,4757338,-3044
328252,4767472,-1092
331042,4756682,-2371
329208,4756985,-1524
327972,4766774,-810
339537,4749175,-4784
329693,4757314,-1880
336949,4751577,-4704
327365,4762951,-1925
328235,4767200,-1274
328430,4758202,-1105
336143,4750833,-5298
333986,4752764,-3740
334713,4752617,-4017
333603,4752725,-4624
338517,4750526,-3950
334024,4752884,-3775
322666,4764384,-6904
334748,4752438,-5254
325020,4773281,-3042
325035,4766714,-3738
326870,4768940,-2093
333512,4752735,-3485
327070,4761007,-2691
327170,4760925,-2735
327304,4761135,-2283
327222,4760893,-2749
327858,4766397,-683
326897,4760892,-3355
330061,4756113,-4373
331219,4759346,-1404
328124,4766662,-731
335642,4749973,-4962
328207,4764522,-4616
329180,4757187,-1759
320655,4771690,-3198
335919,4752156,-2967
330244,4767862,-1470
339222,4749584,-5095
338730,4749857,-4343
